CD_ESTACAO,NOME,SG_ESTADO,WIND_SPEED_mean,WIND_SPEED_120m_mean,WIND_SPEED_median,WIND_SPEED_120m_median,WIND_SPEED_std,WIND_SPEED_120m_std,MINIMUM_DATE,DATASET_SIZE,NON_NULL_RATIO,NON_NULL_DATASET_SIZE,NULL_CELLS_QUANTITY,LATITUDE,LONGITUDE,ALTITUDE
A415,SANTA RITA DE CASSIA,BA,1.6372389380530974,2.554710180476668,1.4,2.1845279693386708,0.9858206118438896,1.5382519280882418,2018-01-01,16950,0.9187020648967552,15572,1407,-11.00277777,-44.52499999,450.01
A309,ARCO VERDE,PE,3.178920877793437,4.960315407038859,3.2,4.99320678705982,1.448492245389351,2.2601941595880075,2018-01-01,24835,0.656452587074693,16303,8801,-8.4336111,-37.05555555,683.95
A452,FORMOSA DO RIO PRETO,BA,1.228077868852459,1.9162646093100182,0.9,1.4043394088605743,0.873826553317396,1.3634989614804722,2018-01-01,24400,0.9051229508196721,22085,4579,-11.05222222,-45.20083333,488.0
A336,ALVORADA DO GURGUEIA,PI,1.7066907424666047,2.663081187092629,1.5,2.3405656814342906,1.348909917711794,2.1048081738283853,2018-01-01,25754,0.8015453910072222,20643,5216,-8.44166666,-43.86555555,261.26
A221,BARRA DO CORDA,MA,1.24028328611898,1.9353096631644213,1.0,1.5603771209561936,1.1659002552171562,1.8192440835578378,2018-01-01,24712,0.8355050178051149,20647,4164,-5.50666666,-45.23694444,154.19
A444,VALENCA,BA,1.3296799338608718,2.074802146991049,0.9,1.4043394088605743,1.065374399050427,1.6623858375307403,2018-01-01,25417,0.6562143447299051,16679,9223,-13.3436111,-39.12666666,93.12
A410,ILHEUS,BA,2.080017280653523,3.2456113759252756,1.8,2.8086788177211486,1.2063238840105055,1.882320189073006,2018-01-01,14734,0.8302565494773992,12233,12572,-14.65888888,-39.18138888,80.21
A255,ZE DOCA,MA,1.9883755908895568,3.1026157798918184,1.7,2.6526411056255292,1.1373559588569704,1.7747042165836107,2019-09-18,11280,0.4110815602836879,4637,26598,-3.26916666,-45.65111111,45.5
A439,IBOTIRAMA,BA,1.8207950946154472,2.8411270075872115,1.6,2.49660339352991,1.6046339093473336,2.5038340396560743,2018-01-02,24626,0.8780557134735645,21623,3115,-12.19305555,-43.21333333,425.12
A325,QUIXERAMOBIM,CE,3.2451570524304314,5.063668818522084,3.2,4.99320678705982,1.9315085104975183,3.013881688712504,2018-01-01,16752,0.9881805157593123,16554,852,-5.17444443,-39.28944444,221.04
